system:index,VHresidue,VVresidue,product,ratio,span,.geo
0_0,-29.729623000367155,-11.162169509472388,331.84709138280726,0.37545614047425147,31.756015365630414,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,-48.129099039248686,-27.19314747626338,1308.7816880739756,0.5650042909402418,55.279991353071125,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,-26.769510366609044,-10.683519631850693,285.99258953669835,0.399092829324842,28.82263480308711,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,-5.138601186378978,-0.9286272477118658,4.771845076796038,0.18071596024486233,5.221835952789818,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,-17.55971347555043,-12.594092647656243,221.14865837737995,0.7172151564541098,21.60913480362359,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-3.233747737621716,-0.9690399179725624,3.1336306424089067,0.2996646605109804,3.375820314115939,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,-9.661754885431382,2.1447280121546886,-20.721836349357098,-0.22198120709816888,9.896937188457759,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,-104.47791522066407,-45.44781698093499,4748.293169498383,0.4349992712330283,113.93480081690946,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,-44.88024821667564,-25.228104476988783,1132.2435909634826,0.5621204311346715,51.48489036107854,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,-13.117714046930601,-2.358364140036752,30.936346407537506,0.17978468897853303,13.328026982042454,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,-27.329962142223756,-7.565398965443078,206.7620673163781,0.2768170305569075,28.357751889063966,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,-14.186020098469967,-7.023396193499623,99.63403956050313,0.49509278463923306,15.829442830531303,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,-0.9963685399932487,4.745885634951193,-4.728651141071253,-4.76318294331468,4.849348484850761,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-201.99416695770518,-93.25880115963089,18837.73385171391,0.46169056544666465,222.48336449871672,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,-73.2446451056767,-51.6935613640616,3786.2765563592125,0.7057657428673265,89.6493297418142,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,-42.31193335586747,-27.176741102873017,1149.9004583744272,0.6422949496138864,50.287920629948076,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,-65.60039843544658,-39.375999826546376,2583.0812774155174,0.6002402541090347,76.51066355240636,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,-0.6982099659445353,-0.6857380980932,0.47878917411652355,0.9821373677551802,0.9786387973715064,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,-6.869507865316546,2.438759327138108,-16.75307637938932,-0.35501223303799656,7.28956002563591,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,-21.322081937775256,-11.33284351019595,241.6398179123826,0.5315073613950485,24.146728974910708,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,-125.1164341152674,-71.76027336189628,8978.389514177274,0.5735479425171669,144.23473547898968,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,-24.02305607663929,-5.955780088008268,143.0760390343543,0.24791933503414,24.750324032587365,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,-12.644200904120602,-10.809827778583383,136.68163417135202,0.8549237599554893,16.63514932624283,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,-10.840187689995386,-0.5317679810946725,5.764464722596168,0.049055237446253,10.853222854988513,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,-14.584303535059437,-9.85140188142038,143.67583528449043,0.6754797620426947,17.599773539224877,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,-19.36030398367094,-7.125557269491445,137.95295479041064,0.36804986510032867,20.62995241732145,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,-48.872462669036096,-17.22163025006498,841.6634814962434,0.3523790148798049,51.81797135942587,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,-14.15740961227538,-4.7378911786790034,67.07626611494486,0.3346580559886428,14.929161388060336,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,-8.67491797576594,0.055402342325601595,-0.48061077533989943,-0.006386497541575881,8.67509488742355,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,-40.55039929104745,-17.337569956655692,703.0453844788565,0.4275560847679103,44.101317606907294,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,-22.012305722879724,-1.5999889944109533,35.2194468982168,0.07268611541897291,22.070377613891424,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,-1.007592638435117,1.31719957913268,-1.3272005992839229,-1.3072739209155109,1.6583900796543465,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,-157.12696196672297,-93.90250461757174,14754.615271625222,0.5976218431401914,183.04797882070451,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,-25.21771950209464,-1.3721530987063915,34.602571957107756,0.05441225954600762,25.255022886796475,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,-12.09170580698197,-3.970116024289096,48.005474985288636,0.3283338254885989,12.72678948395543,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,-142.38457784067558,-71.24110451312967,10143.634591005415,0.5003428432596577,159.21263448331626,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,-32.74467088405181,-19.99623364888518,654.7700897533476,0.6106713889320013,38.36747100664413,"{""type"":""MultiPoint"",""coordinates"":[]}"
