system:index,VHresidue,VVresidue,product,ratio,span,.geo
1_0,-40.15456191822513,-16.033584126739616,643.8215465882374,0.3992967015651186,43.23730637763889,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,-30.83533393335449,-4.267597867175148,131.5928053276171,0.13839959951135472,31.129250076694763,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,-20.50352409635308,-8.155345202939587,167.21331688254932,0.3977533405776894,22.065904825065324,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-7.398989651521166,-7.06304946165525,52.25942987496934,0.9545964779398158,10.22896454002583,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-2.4142785011037127,-1.4135090102652086,3.4126044145996803,0.585478854083739,2.797632642609197,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,-7.4914223937346165,-2.9128615819612413,21.821476484953685,0.3888262373774821,8.037796468996602,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-14.057741606762349,-5.768400628036314,81.09068551322017,0.4103362253622216,15.1952145390589,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,-19.324251650271663,-7.90343037535051,152.72787747367428,0.4089902428505894,20.87800070746814,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,-27.921695034371776,-5.743817028840962,160.37710741252872,0.20571161678294558,28.50635872315622,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,-25.41240178029227,-16.200951399109282,411.7050861771533,0.6375214566170359,30.137368672120378,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,-16.308374206125986,-10.607402166492598,172.9894838860328,0.6504267091509399,19.454563731133813,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,-12.057340989114365,-2.0804578534271982,25.084789752252643,0.17254698654582978,12.23551292785326,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,-19.966242551761688,-9.580352160647497,191.2836349707821,0.4798274956247183,22.14574426741631,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,-14.821424162938435,-2.3345903041814253,34.60195314495637,0.15751457339836222,15.004163625677814,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,-18.384516331777604,-15.386882725219213,282.8803967569393,0.836947921149441,23.973873294756668,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,-7.286069445316677,-3.36186681217907,24.4947950594421,0.461410207164578,8.024272953034956,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,-39.02082844195582,-20.230279709971782,789.4022738955887,0.5184482369477287,43.95326232989133,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,-8.711151639620148,-8.078367719245026,70.37188620295579,0.9273593266937189,11.880411941334227,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,-8.809698302346998,-0.07957170063093066,0.7010026759631734,0.009032284409754635,8.810057652133548,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,-20.28874999701161,-2.357913595512475,47.83911945390736,0.1162177855146216,20.425306190242075,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,-13.828664975043448,-4.894722183666989,67.68747322384388,0.3539547882966635,14.669365366207058,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,-22.085129509885032,-8.934892997184335,197.32826899978087,0.4045660222723705,23.824047899958735,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,-18.742647019142883,-13.905315282007628,260.62241602056224,0.7419077608304405,23.337622209133055,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,-28.07375790735071,-20.594026494576998,578.1517141463211,0.73356857185068,34.817377992891366,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,-17.500523230747056,-9.418972783420589,164.83695200602628,0.5382109242809487,19.874238643146438,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,-19.763710339677402,-5.522889369986345,109.15278574649354,0.2794459782634364,20.52088091149548,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,-24.5430058619045,-10.123385834814405,248.45831788617093,0.41247538674665196,26.54886207538846,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,-34.286662603827494,-15.87994680732471,544.4703783494699,0.463152304755144,37.785552041913654,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,-10.45400267898319,-7.011256889527104,73.2956983061557,0.6706767833169385,12.587449907869702,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,-20.057666967403424,-7.175166684329627,143.9171037898919,0.3577268829914415,21.302418198955262,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,-11.326091436294359,-6.070927861368633,68.7598840610081,0.5360126126047684,12.850545214940974,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,-9.645891621925674,-4.83882809252054,46.67481135758247,0.501646533278645,10.791546807149654,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,-26.7816348752797,-16.26082265676363,435.4914151651191,0.607163182251166,31.33161853571429,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,-14.685973362884518,-7.2225058845600945,106.06952903392623,0.4917961994138807,16.365891508495917,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,-7.5146439708357455,-6.440432529319011,48.39755747602152,0.8570509200854042,9.896920994588594,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,-6.469247984657695,-4.597383638453946,29.741614837766456,0.7106519412081567,7.9364416337626835,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,-5.099851214244403,-3.199239399511029,16.315644936254856,0.6273201442769993,6.0202670325172285,"{""type"":""MultiPoint"",""coordinates"":[]}"
