system:index,VHresidue,VVresidue,class,product,ratio,span,residue
00000000000000000049_0,-11.41201789,-3.831331614,1,43.72322492,0.335727796,12.03799212,RC
0000000000000000004a_0,-23.7436181,-6.021049701,1,142.9615047,0.253586024,24.49515136,RC
0000000000000000004f_0,-14.86329132,1.610053515,1,-23.93069444,-0.108324158,14.95024084,RC
00000000000000000051_0,-11.10677431,-6.112144428,1,67.88620871,0.55030779,12.6774897,RC
00000000000000000052_0,-12.28528496,-3.413420507,1,41.9348436,0.277846262,12.75067316,RC
00000000000000000053_0,-38.2890876,-12.05820611,1,461.6977101,0.314925397,40.1429267,RC
00000000000000000056_0,-16.40599305,-8.51693729,1,139.728814,0.519135737,18.48498928,RC
00000000000000000058_0,-20.43090051,-10.86585493,1,221.9992009,0.531834361,23.14062443,RC
00000000000000000059_0,-14.55418127,-3.151342137,1,45.86520471,0.216524865,14.89144552,RC
0000000000000000005c_0,-15.99611634,-9.095511161,1,145.4928547,0.568607465,18.40119728,RC
0000000000000000005e_0,-15.36440193,-4.551683732,1,69.9338983,0.296248676,16.02443982,RC
00000000000000000060_0,-9.23722353,-10.63307701,1,98.22010915,1.151111801,14.08504971,RC
00000000000000000063_0,-19.29281779,-4.376196035,1,84.42915272,0.22683032,19.78291966,RC
00000000000000000065_0,-21.51720924,-9.936679462,1,213.8096111,0.461801498,23.7007994,RC
00000000000000000066_0,-21.39480288,-11.89653139,1,254.523944,0.556047721,24.47989071,RC
00000000000000000068_0,-10.293012,-4.040907735,1,41.59311181,0.392587489,11.05780409,RC
0000000000000000006c_0,-15.89720137,-7.67665759,1,122.0373716,0.48289365,17.65367053,RC
0000000000000000006e_0,-29.99172215,-12.68219149,1,380.3607633,0.422856394,32.56288344,RC
0000000000000000006f_0,-21.96946704,-7.314997449,1,160.7065953,0.332961989,23.15527304,RC
00000000000000000073_0,-14.64652794,-6.314309551,1,92.48271128,0.431113065,15.94964846,RC
00000000000000000075_0,-8.596086641,-6.335196416,1,54.45789728,0.736986106,10.6783622,RC
00000000000000000076_0,-19.12497811,-3.219867753,1,61.57990029,0.168359291,19.39413148,RC
00000000000000000078_0,-8.633004583,-7.059526561,1,60.94492516,0.817736918,11.15193631,RC
0000000000000000007a_0,-12.55845559,-9.84385952,1,123.6236726,0.78384316,15.9567032,RC
0000000000000000007d_0,-10.63104983,-3.0679423,1,32.61544748,0.288583192,11.06487644,RC
0000000000000000007e_0,-6.939443232,-4.623324427,1,32.0832974,0.666238526,8.338525117,RC
0000000000000000007f_0,-21.47816169,-4.417968877,1,94.8898499,0.205695857,21.92783343,RC
00000000000000000080_0,-19.21006661,-9.430753778,1,181.1654082,0.490927698,21.40013495,RC
00000000000000000082_0,-6.291808092,-1.95649326,1,12.30988012,0.310958826,6.588984364,RC
00000000000000000083_0,-18.20135619,-6.454273583,1,117.4765324,0.354603993,19.31183613,RC
00000000000000000084_0,-21.41010082,-5.05146406,1,108.1523548,0.235938359,21.99794777,RC
00000000000000000085_0,-4.690332542,-4.404551105,1,20.65880938,0.939070112,6.434227987,RC
00000000000000000086_0,-8.226866656,-1.40980553,1,11.59828211,0.171366036,8.346789,RC
00000000000000000088_0,-8.71437239,-0.070025861,1,0.610231433,0.008035675,8.714653738,RC
