residue,VHresidue,VVresidue,product,ratio,span
TC,-10.62203789,-3.386915207,35.9759407,0.318857372,11.14894104
TC,-15.08444023,-3.723922729,56.17329025,0.246871784,15.53730774
TC,-15.47225189,-3.783805847,58.54399872,0.244554311,15.92820644
TC,-12.9229908,-0.527370453,6.815203667,0.0408087,12.93374729
TC,-16.05890846,-11.89974785,191.0969543,0.741006017,19.98731041
TC,-9.444555283,-3.459056854,32.6692543,0.366248786,10.05806637
TC,-14.53314781,0.383079529,-5.567351341,-0.02635902,14.53819561
TC,-6.741277695,-1.607810974,10.83870029,0.238502413,6.930359364
RC,-29.99922752,-12.82528877,384.7487488,0.427520633,32.62578201
RC,-26.96853256,-11.00800896,296.8698425,0.40817976,29.12864685
RC,-22.75705338,-9.23179245,210.0883942,0.405667305,24.55828857
RC,-29.85305405,-16.59308815,495.3543701,0.555825472,34.15457916
RC,-22.07347107,-11.96528435,264.1153564,0.542066276,25.10788918
RC,-17.71413422,-8.831315994,156.4391174,0.498546302,19.7935009
RC,-28.98823738,-7.676734924,222.5350189,0.264822423,29.98750114
RC,-29.84852409,-10.78389549,321.8833618,0.361287385,31.73683739
RC,-27.04751778,-13.25817871,358.6008301,0.490180969,30.12220955
RC,-17.132864,-3.082094193,52.80509949,0.179893687,17.40788078
RC,-24.42366028,-10.20645905,249.2790833,0.417892277,26.47049332
RC,-30.22261238,-12.65513039,382.4710999,0.418730527,32.76520538
RC,-26.77175903,-7.634187698,204.3806305,0.285158247,27.83896446
RC,-23.01898766,-5.665613174,130.416687,0.246127814,23.70596886
RC,-21.54471779,-4.572631836,98.51605988,0.212239116,22.02461815
RC,-26.66141891,-14.64609528,390.4856873,0.549336672,30.41939163
RC,-30.28153801,-10.85812378,328.8006897,0.358572394,32.16939926
RC,-20.7716465,-6.729419708,139.7811279,0.323971421,21.83452225
RC,-16.74670982,-4.611448288,77.22658539,0.275364429,17.37002373
RC,-17.32562065,-7.934078217,137.4628296,0.457939059,19.05588341
RC,-21.2946167,-11.0558033,235.4290924,0.51918304,23.99357224
RC,-18.7968483,-6.013025284,113.0259247,0.319895387,19.73519707
RC,-18.11323547,-7.466178894,135.2366638,0.412194669,19.59165955
RC,-19.91584396,-2.564460754,51.07339859,0.128764853,20.08027077
RC,-15.02824783,-10.47233391,157.3808289,0.696843326,18.31715012
RC,-26.16104507,-12.52986526,327.7943726,0.478951246,29.00685883
RC,-22.9009552,-9.609111786,220.0578461,0.419594377,24.83523178
RC,-23.53547859,-16.37083626,385.2954712,0.695581198,28.6692009
RC,-24.82285309,-5.844640732,145.080658,0.235454023,25.50164413
RC,-28.20870399,-7.746177673,218.5096283,0.274602383,29.25293541
RC,-27.12547874,-18.46975136,501.0008545,0.680900455,32.81650925
RC,-33.15792847,-21.64941025,717.8496094,0.652918041,39.59981537
RC,-19.34692764,-5.632701874,108.9754791,0.291141927,20.15020943
RC,-24.93817711,-13.19721031,329.1143799,0.529197097,28.21487236
RC,-27.26128197,-8.673437119,236.4490204,0.31815955,28.60779572
RC,-17.15574646,-3.513988495,60.28509521,0.20482865,17.51193237
RC,-27.84345627,-10.88240051,303.0036316,0.390842289,29.89455986
RC,-10.36162949,-7.746395111,80.26527405,0.747603953,12.93715572
RC,-19.32955933,-6.184719086,119.5478973,0.319961727,20.29489136
RC,-22.03032112,-7.614694595,167.7541656,0.345646113,23.30919647
RC,-17.52042961,-8.076253891,141.4994354,0.460962087,19.29226112
RC,-18.12122536,-7.598775864,137.6991272,0.41933012,19.6499424
RC,-19.3555088,-10.24514961,198.3000793,0.529314399,21.89974403
RC,-19.27962685,-8.433296204,162.5908051,0.4374201,21.043396
RC,-17.09454918,-12.07869339,206.4798126,0.706581593,20.93127823
RC,-21.96251488,-8.472021103,186.0668945,0.385749131,23.53990555
RC,-21.5255127,-13.7868042,296.7680359,0.640486658,25.56215286
RC,-17.2914772,-9.734703064,168.3273926,0.562976956,19.84337616
RC,-26.39051628,-8.773258209,231.5308075,0.33243981,27.81060028
RC,-26.05853081,-13.86570358,361.3198547,0.532098413,29.51787186
RC,-24.60710335,-10.11450768,248.8887329,0.411040157,26.60475159
RC,-15.78198814,-5.687574387,89.76123047,0.360383898,16.7755661
RC,-22.2841568,-15.4955349,345.3049316,0.695361078,27.1421299
RC,-28.11837387,-10.60338593,298.1499634,0.377098113,30.05120087
RC,-23.03624725,-13.37392235,308.0849915,0.580559969,26.63701439
RC,-33.53162384,-17.251688,578.4771118,0.514490068,37.70928955
RC,-30.09337997,-13.54647636,407.6592712,0.450148046,33.00179672
RC,-25.56751442,-15.70545959,401.5495605,0.614274025,30.00598717
RC,-21.52081871,-14.15253639,304.5741577,0.657620728,25.75732803
RC,-22.52365112,-10.16776466,229.0151825,0.451426119,24.71231079
RC,-18.21321297,-10.45553207,190.428833,0.574063003,21.0009346
RC,-17.12003899,-8.511550903,145.7180786,0.497168899,19.1191597
RC,-22.22978592,-8.49379158,188.8151703,0.382090569,23.79722404
RC,-10.53688431,-9.084598541,95.72336578,0.862171233,13.91243553
RC,-16.30300713,-9.369903564,152.7575989,0.574734688,18.8038063
RC,-18.07180023,-8.949764252,161.7383575,0.495233685,20.16651344
RC,-23.23974609,-9.736501694,226.2738342,0.418959051,25.19692993
RC,-24.77800179,-14.07110977,348.6539917,0.567887187,28.49465752
RC,-26.60133362,-19.50293922,518.8041992,0.733156443,32.98477936
RC,-23.97924995,-20.03908539,480.5222473,0.835684419,31.25011063
RC,-23.41429329,-10.84916115,254.0254364,0.463356346,25.80568504
RC,-18.39278221,-15.23880577,280.2840271,0.828520954,23.88546944
RC,-14.70209694,-4.983751297,73.27159119,0.338982344,15.52383423
RC,-13.3656311,-5.985717773,80.00289917,0.447843999,14.64475727
RC,-18.31434822,-12.0303421,220.3278809,0.656880736,21.91219902
RC,-21.64656258,-8.90766716,192.8203735,0.411504924,23.40769577
RC,-32.1676445,-11.0166893,354.3809509,0.342477351,34.00183487
RC,-20.58019829,-15.01106644,308.9307251,0.729393661,25.4730587
RC,-19.59754753,-12.87495613,252.3175659,0.6569677,23.44841957
RC,-24.25147629,-7.064905167,171.3343811,0.291318566,25.25959206
RC,-19.30282784,-7.030286789,135.704422,0.364210188,20.54322433
RC,-20.65778923,-7.814908981,161.438736,0.37830326,22.08658218
RC,-18.25004959,-10.63126755,194.0211639,0.582533598,21.12079811
RC,-14.15520668,-3.41100502,48.2834816,0.240971759,14.5603857
RC,-15.58234406,-2.230215073,34.75197983,0.143124491,15.74113464
RC,-11.52412987,-6.087873459,70.15744781,0.528271854,13.03333282
