FID,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
33,-15.88435603,-52.6996684,55.04150993,0.301412827,837.1002957,0.768395684,562.5,1014.5,1637,2585,2602,-0.229552642,0.119270742,-0.002900016,1.270845413
34,-4.361401185,-13.10112204,13.80801286,0.332902874,57.1392492,0.750242211,736,1290,2091,3389,2685,-0.124372296,0.179338247,0.115903646,1.437058091
35,-9.076106855,-28.00331449,29.43741392,0.324108307,254.1610746,0.755225229,855.5,1384,2053,3131.5,2904.5,-0.171759278,0.125348777,0.037603144,1.286625981
36,-5.466632292,-17.44026118,18.27694665,0.313448992,95.33949497,0.761354271,794.5,1228,1896,3015,2717,-0.177820995,0.148450255,0.051786728,1.348659277
37,-9.620437571,-13.3931167,16.49025149,0.718312084,128.8476431,0.58196646,780.5,1247,1862,2778.5,2604,-0.166144431,0.118482031,0.032417864,1.268814564
38,-0.167780564,-12.59817296,12.59929015,0.013317849,2.11372856,0.986857185,951.5,1515,2306,3356,2748.5,-0.087586261,0.152205735,0.099910036,1.35906291
39,-3.203511625,-6.020683644,6.819906032,0.532084364,19.28733005,0.652705571,933,1456,2283,3343,2653,-0.074959479,0.162827387,0.115076721,1.388993621
40,-15.6709121,-11.95740986,19.71185269,1.310560755,187.3835189,0.432795371,668,1122,1742,2592,2493,-0.177331761,0.144768432,0.019469026,1.338547945
41,2.669988067,-0.921025055,2.824380185,-2.898930984,-2.459125905,-0.526612083,1072,1594,2410,3660,2845,-0.082778305,0.160023615,0.125288233,1.381019354
42,-3.219829813,-5.605426301,6.464372208,0.574413013,18.04851872,0.635157352,995,1512,2476,3696,2729,-0.048607107,0.191287592,0.150505841,1.473067045
43,-27.78920103,-40.68241813,49.26762465,0.683076432,1130.531896,0.594150082,647,1060,1614,2583,2706,-0.252777785,0.107078038,-0.023255814,1.239837408
44,-20.2269425,-44.34937816,48.744195,0.456081761,897.0523219,0.686774621,643,1022,1552,2504,2447,-0.223805949,0.142606869,0.011512825,1.332652211
45,0.784171152,0.02045948,0.784438007,38.32800958,0.016043734,0.02542717,1294,1904,2778,3974,2791,-0.002334351,0.189722747,0.174870655,1.468290925
46,-22.18321587,-55.45718958,59.72934741,0.400006131,1230.218808,0.714282586,597,949,1434,2126,2415,-0.254871398,0.109184802,-0.063642368,1.245134592
47,-23.29787848,-40.9626747,47.12464175,0.568758721,954.3434172,0.637446655,665,1066,1578,2526,2565,-0.238233164,0.10031499,-0.007659807,1.223000407
48,-176.6849271,-357.037287,398.3631356,0.494864076,63083.10704,0.668957142,498.5,851.5,1322,2122.5,2850.5,-0.366654277,0.088308267,-0.146648511,1.193723917
49,-2.676299593,-5.536198519,6.149152263,0.483418285,14.81652584,0.674118696,1123,1754,2635,4009,2966.5,-0.059178952,0.183063,0.149452224,1.44816947
50,-1.019409494,-18.14505157,18.1736648,0.05618113,18.49723785,0.946807297,930,1388,2148,3294,2694,-0.112763323,0.159307227,0.1002004,1.378990293
51,-7.61134946,-13.05589558,15.11254611,0.582981797,99.37298373,0.631719204,708.5,1062,1615,2746,2241.5,-0.162462324,0.129683375,0.101151571,1.298014522
52,-14.00666596,-21.00072127,25.24315719,0.666961186,294.1500876,0.599893992,825,1314,2074,3168,2857.5,-0.158876613,0.145802617,0.051526967,1.341379881
53,-20.6403987,-36.01935705,41.51409569,0.573036289,743.4538903,0.635713243,780,1252,1858,2812,2938,-0.225187659,0.103174604,-0.021913044,1.230088472
54,-5.116698516,-34.0219853,34.40459399,0.150393884,174.0802417,0.869267486,714,1146,1787,2995,2751,-0.212446123,0.134904072,0.042457342,1.31188333
55,-26.4919746,-35.71342629,44.466544,0.741793139,946.1191821,0.574120989,472,816,1204,1895,1953,-0.237250552,0.142480791,-0.015072765,1.332309246
56,-24.85577113,-49.55207634,55.43660909,0.501609074,1231.655068,0.665952289,625,991,1549,2495,2628.5,-0.258417189,0.131721318,-0.02605523,1.303409219
57,-45.61918842,-75.10757872,87.87638325,0.607384623,3426.346785,0.622128634,510,855,1398,2259,2518,-0.286006123,0.113067985,-0.054218128,1.254964232
58,-3.284171887,-15.66899838,16.00947517,0.209596798,51.45968398,0.826721765,955,1404,2081,3108,2810,-0.149049267,0.150800839,0.05035485,1.355160117
59,-7.57038855,-4.613388836,8.865333572,1.640960435,34.92514602,0.378650125,971,1454,2322,3562,2648,-0.065593563,0.171723485,0.147181958,1.414652586
60,-29.68602954,-62.67941956,69.35394716,0.473616855,1860.703101,0.678602445,635,976.5,1431,2198,2531.5,-0.27790907,0.099634618,-0.069804691,1.221320629
61,-0.771253933,-13.97373763,13.9950054,0.055193102,10.77730011,0.947693837,841,1340,2128,3345,2741.5,-0.125988215,0.165258393,0.09915328,1.395951986
62,-12.27441904,-17.58425492,21.44451874,0.698034639,215.8365134,0.588916137,624,1082,1826,2932,2565,-0.168298796,0.172980815,0.066763692,1.418323636
63,-1.233361231,-6.345062232,6.463821985,0.194381266,7.825753769,0.837253587,748,1240,1914,2894,2489,-0.130592778,0.139944717,0.075236857,1.325431943
