FID,class,residue,VVresidue,VHresidue,span,ratio,product
0.0,0.0,TC,-0.294371289,-4.179157612,4.189512239,0.070437949,1.230224012
1.0,0.0,TC,-1.067587865,-1.621972851,1.941787779,0.658203289,1.731598533
2.0,0.0,TC,2.237963328,-3.361716424,4.038516705,-0.665720437,-7.523398077
3.0,0.0,TC,-5.545328288,-6.793875066,8.769686667,0.816224649,37.67426759
4.0,0.0,TC,-0.956561392,-9.872696513,9.918928679,0.096889577,9.443840314
5.0,0.0,TC,-4.123702645,-1.32849896,4.33241653,3.104031519,5.478334674
6.0,0.0,TC,3.316416073,-1.546362856,3.659214895,-2.144655803,-5.128382629
7.0,0.0,TC,0.10232392,-2.897994911,2.899800802,-0.035308523,-0.296534201
8.0,0.0,TC,5.163879305,3.751548672,6.3827711,1.376466029,19.37254455
9.0,0.0,TC,4.523880974,0.267206888,4.531765505,16.93025582,1.208812158
10.0,0.0,TC,4.158283793,-4.457192741,6.095727293,-0.932937845,-18.53427234
11.0,0.0,TC,2.877039915,-3.977855317,4.909245522,-0.723264092,-11.44444852
12.0,0.0,TC,-6.185866308,-17.64393489,18.69688157,0.350594487,109.1430224
13.0,0.0,TC,3.170553801,3.686675846,4.862508632,0.860003411,11.68880411
14.0,0.0,TC,-10.02553804,-15.47606932,18.43963488,0.647809068,155.1559217
15.0,0.0,TC,-3.089267842,-6.39504482,7.102124615,0.483072117,19.75600631
16.0,0.0,TC,4.693829009,-3.844495298,6.067303755,-1.220922032,-18.04540355
17.0,0.0,TC,3.320533797,0.10725264,3.322265466,30.95992609,0.356136015
18.0,0.0,TC,-0.602987882,-3.516963491,3.56828062,0.171451277,2.120686365
19.0,0.0,TC,1.117654015,-4.218657142,4.364197358,-0.264931228,-4.714999093
20.0,0.0,TC,-0.447615904,-17.01304581,17.01893321,0.026310157,7.615309885
21.0,0.0,TC,0.397181619,-5.323190934,5.337987913,-0.074613446,-2.114273592
22.0,0.0,TC,-0.542950776,-2.506227315,2.564365594,0.216640674,1.360758065
23.0,0.0,TC,-4.620144377,-26.98162393,27.37432673,0.171232999,124.6589981
24.0,0.0,TC,1.464635343,-0.669105091,1.610235483,-2.188946644,-0.979994965
25.0,0.0,TC,2.091959362,-7.660242645,7.940756346,-0.273093094,-16.02491632
26.0,0.0,TC,-8.199841545,-49.97093176,50.6392281,0.164092228,409.7537223
27.0,0.0,TC,-18.04585683,-38.20426174,42.25184687,0.472351932,689.4286377
28.0,0.0,TC,-1.63914984,2.12077611,2.680392416,-0.772900936,-3.47626982
29.0,0.0,TC,-4.613201193,-5.847585826,7.448213561,0.788906966,26.97608991
30.0,0.0,TC,1.860516488,-14.22534207,14.3464936,-0.130788875,-26.46648347
31.0,0.0,TC,5.084673112,1.95732587,5.448396573,2.597765242,9.952362222
32.0,0.0,TC,4.056876237,-4.604325776,6.136616385,-0.881101041,-18.67917983
33.0,0.0,TC,-2.176198214,-2.243096058,3.125270963,0.970176113,4.881421634
34.0,0.0,TC,1.053388604,-3.15737526,3.328460017,-0.33362794,-3.325943117
35.0,0.0,TC,-3.190004998,-1.270524716,3.433710084,2.510777602,4.052980193
36.0,0.0,TC,-8.927017417,-16.76134144,18.99037142,0.532595643,149.628787
37.0,0.0,TC,-2.01742093,-7.936842049,8.189227614,0.254184336,16.01195126
38.0,0.0,TC,-1.876067572,-3.032025227,3.565502281,0.618750647,5.688284206
39.0,0.0,TC,1.644315058,-0.846088566,1.84922629,-1.943431366,-1.391236169
40.0,0.0,TC,5.049749588,-0.248209639,5.055846015,-20.34469577,-1.253396521
41.0,0.0,TC,4.602434073,-2.152011389,5.080703929,-2.138666225,-9.904490543
42.0,0.0,TC,-0.184508535,-6.982405134,6.984842508,0.026424782,1.288313344
43.0,0.0,TC,-4.885894276,-2.916839578,5.690335315,1.675064447,14.2513698
44.0,0.0,TC,1.006094083,-0.674192982,1.211099286,-1.492293912,-0.67830157
45.0,0.0,TC,1.68013131,-2.158264117,2.735131664,-0.778464182,-3.626167119
46.0,0.0,TC,-0.975138844,-0.638021847,1.165318687,1.528378454,0.622159886
47.0,0.0,TC,5.289035725,-6.356377839,8.26906513,-0.832083281,-33.61910947
48.0,0.0,TC,0.35630169,-11.3037213,11.30933535,-0.031520743,-4.027535
49.0,0.0,TC,-9.166492556,-18.48487565,20.63286731,0.495891492,169.441475
50.0,0.0,TC,-0.966049196,-2.913144966,3.069147217,0.331617275,2.814241353
51.0,0.0,TC,-6.001265563,-25.68317579,26.37500155,0.233665245,154.1315584
52.0,0.0,TC,-0.768300169,5.593644667,5.646162042,-0.137352337,-4.297598143
53.0,0.0,TC,0.064742142,1.721860747,1.723077473,0.037600103,0.111476953
54.0,0.0,TC,-2.409604904,-2.15817263,3.234795959,1.116502392,5.200343353
55.0,0.0,TC,-2.50014225,-10.99586962,11.27651808,0.227371034,27.49123822
56.0,0.0,TC,2.039178568,-18.66867167,18.77971116,-0.109229976,-38.06875517
57.0,0.0,TC,-2.244539814,-5.310516475,5.765374594,0.42265942,11.91966566
58.0,0.0,TC,-3.914848993,-2.796814775,4.811259246,1.399752686,10.94910751
59.0,0.0,TC,-3.431257553,2.017291782,3.980325933,-1.700922783,-6.921847665
60.0,0.0,TC,1.665490102,-1.325296066,2.128442374,-1.256692859,-2.20726748
61.0,0.0,TC,-0.173791593,-4.966276375,4.969316306,0.034994346,0.863097081
62.0,0.0,TC,-1.893966671,0.07274574,1.895363209,-26.03543075,-0.137778007
63.0,0.0,TC,-6.073946983,-8.037270334,10.07425165,0.755722618,48.8179539
64.0,0.0,TC,0.093716421,-4.633216421,4.634164129,-0.020227076,-0.434208463
65.0,0.0,TC,-15.61156178,-28.81680284,32.77390711,0.541752042,449.8752978
66.0,0.0,TC,4.247540198,0.578313361,4.286728831,7.344703553,2.456409248
67.0,0.0,TC,-14.43940327,-39.48454425,42.0419505,0.365697605,570.1332573
68.0,0.0,TC,0.944027588,-8.193302293,8.247508142,-0.115219426,-7.734703404
69.0,0.0,TC,-0.656350281,3.605676067,3.664927774,-0.182032515,-2.3665865
70.0,0.0,TC,-0.840339292,-11.61243128,11.64279736,0.072365491,9.758382281
71.0,0.0,TC,2.272040907,-6.91840455,7.281929099,-0.328405327,-15.71889815
72.0,0.0,TC,0.63428284,-4.195080599,4.242760417,-0.151196819,-2.660867636
73.0,0.0,TC,2.920709203,1.134912331,3.133459469,2.573510854,3.31474889
74.0,0.0,TC,-0.308679288,-2.283566282,2.304334582,0.135174219,0.704889615
75.0,0.0,TC,3.190362455,-6.942582682,7.640541008,-0.459535392,-22.14935513
76.0,0.0,TC,-0.985972726,-3.982647446,4.10287983,0.247567162,3.926781761
77.0,0.0,TC,-2.15199707,-1.552553444,2.653585044,1.386101766,3.341090462
78.0,0.0,TC,-3.479623818,-6.674008135,7.526630488,0.52136943,23.22303767
79.0,0.0,TC,5.476413349,-2.159889869,5.886954001,-2.535505827,-11.82844971
80.0,0.0,TC,4.331837354,1.74976965,4.671884918,2.475661499,7.57971753
81.0,0.0,TC,-1.58552881,-11.040642,11.15390862,0.143608389,17.50525597
82.0,0.0,TC,-8.883540502,-21.87195459,23.60719571,0.406161254,194.3003944
83.0,0.0,TC,-1.85320405,-10.7789975,10.93714553,0.17192731,19.97568183
84.0,0.0,TC,-3.348768196,-4.340961629,5.482535572,0.771434646,14.53687424
85.0,0.0,TC,-4.155841805,-8.626060761,9.57496451,0.481777479,35.84854392
86.0,0.0,TC,-0.856206643,-1.912616526,2.09551707,0.447662473,1.637594976
87.0,0.0,TC,1.76196778,1.707353798,2.453484756,1.031987501,3.00830238
88.0,1.0,RC,-2.75886402,-5.913025643,6.524967658,0.466573999,16.3132337
89.0,1.0,RC,-0.604646182,-8.633211788,8.654359756,0.070037223,5.220038542
90.0,1.0,RC,0.391953013,-5.878058192,5.891111548,-0.066680696,-2.303922619
91.0,1.0,RC,-4.382222702,-13.22797243,13.93496072,0.331284536,57.96792108
92.0,1.0,RC,-14.87586966,-15.47145021,21.4629278,0.961504543,230.1512768
93.0,1.0,RC,-4.043067645,-4.377145498,5.95867424,0.923676777,17.69709534
94.0,1.0,RC,-16.97988399,-30.29063732,34.72519503,0.560565425,514.3315078
95.0,1.0,RC,-3.066986705,-16.45859329,16.74191448,0.186345616,50.4782868
96.0,1.0,RC,-0.689240666,-4.493870498,4.546418893,0.153373504,3.097358295
97.0,1.0,RC,-13.98584164,-37.75307319,40.26038129,0.370455713,528.008503
98.0,1.0,RC,-8.314662814,-29.6132621,30.75839577,0.280774971,246.2242892
99.0,1.0,RC,-10.38761591,-8.796312241,13.61167416,1.180905773,91.37271297
